id;time_start;elapsed_time;kernel;operation;path;size_start;size_gain;thread;process;write_size;entropy;exec_path;exec;gt;;Ransomware
73021;132047170778245000;0;1;0;\Device\HarddiskVolume2\Users\win-test\Documents\mydocs\Solez8.pdf.WNCRYT;272;0;2484;4092;8;0.516265;\Device\HarddiskVolume2\Users\win-test\Desktop\Wannacry\Wannacry.exe;Wannacry.exe;1;;Wannacry
73022;132047170778245000;0;1;60a00;\Device\HarddiskVolume2\Users\win-test\Documents\mydocs\Solez8.pdf.WNCRYT;272;8;2484;4092;8;0.516265;\Device\HarddiskVolume2\Users\win-test\Desktop\Wannacry\Wannacry.exe;Wannacry.exe;1;;Wannacry
73023;132047170778572000;0;1;0;\Device\HarddiskVolume2\Users\win-test\Documents\mydocs\Solez8.pdf.WNCRYT;280;0;2484;4092;1048576;0.401364;\Device\HarddiskVolume2\Users\win-test\Desktop\Wannacry\Wannacry.exe;Wannacry.exe;1;;Wannacry
73024;132047170778582000;19115;1;60a00;\Device\HarddiskVolume2\Users\win-test\Documents\mydocs\Solez8.pdf.WNCRYT;280;1048576;2484;4092;1048576;0.401364;\Device\HarddiskVolume2\Users\win-test\Desktop\Wannacry\Wannacry.exe;Wannacry.exe;1;;Wannacry
73025;132047170778701000;0;1;0;\Device\HarddiskVolume2\Users\win-test\Documents\mydocs\Solez8.pdf.WNCRYT;1048856;0;2484;4092;946768;0.402960;\Device\HarddiskVolume2\Users\win-test\Desktop\Wannacry\Wannacry.exe;Wannacry.exe;1;;Wannacry
73026;132047170778701000;0;1;60a00;\Device\HarddiskVolume2\Users\win-test\Documents\mydocs\Solez8.pdf.WNCRYT;1048856;946768;2484;4092;946768;0.402960;\Device\HarddiskVolume2\Users\win-test\Desktop\Wannacry\Wannacry.exe;Wannacry.exe;1;;Wannacry
73027;132047170778784000;0;1;60a00;\Device\HarddiskVolume2\Users\win-test\Documents\mydocs\Solez8.pdf;1995335;0;2484;4092;1024;0.783044;\Device\HarddiskVolume2\Users\win-test\Desktop\Wannacry\Wannacry.exe;Wannacry.exe;1;;Wannacry
73029;132047170778800000;9260;0;60043;;67108864;0;2484;4092;20480;0.219793;\Device\HarddiskVolume2\Users\win-test\Desktop\Wannacry\Wannacry.exe;Wannacry.exe;1;;Wannacry
73028;132047170778800000;15489;0;60043;;1995335;0;2484;4092;8192;0.280148;\Device\HarddiskVolume2\Users\win-test\Desktop\Wannacry\Wannacry.exe;Wannacry.exe;1;;Wannacry
73030;132047170778825000;5143;0;60043;;67108864;0;2484;4092;4096;0.170727;\Device\HarddiskVolume2\Users\win-test\Desktop\Wannacry\Wannacry.exe;Wannacry.exe;1;;Wannacry
73031;132047170778973000;0;1;0;\Device\HarddiskVolume2\Users\win-test\Documents\mydocs\Solez8.pdf;1995335;0;2484;4092;262144;0.444403;\Device\HarddiskVolume2\Users\win-test\Desktop\Wannacry\Wannacry.exe;Wannacry.exe;1;;Wannacry
73032;132047170778982000;9918;1;0;\Device\HarddiskVolume2\Users\win-test\Documents\mydocs\Solez8.pdf;1995335;0;2484;4092;262144;0.444403;\Device\HarddiskVolume2\Users\win-test\Desktop\Wannacry\Wannacry.exe;Wannacry.exe;1;;Wannacry
73033;132047170779003000;0;1;0;\Device\HarddiskVolume2\Users\win-test\Documents\mydocs\Solez8.pdf;1995335;0;2484;4092;262144;0.444403;\Device\HarddiskVolume2\Users\win-test\Desktop\Wannacry\Wannacry.exe;Wannacry.exe;1;;Wannacry
73034;132047170779020000;0;1;0;\Device\HarddiskVolume2\Users\win-test\Documents\mydocs\Solez8.pdf;1995335;0;2484;4092;262144;0.444403;\Device\HarddiskVolume2\Users\win-test\Desktop\Wannacry\Wannacry.exe;Wannacry.exe;1;;Wannacry
73035;132047170779054000;5579;1;0;\Device\HarddiskVolume2\Users\win-test\Documents\mydocs\Solez8.pdf;1995335;0;2484;4092;262144;0.444403;\Device\HarddiskVolume2\Users\win-test\Desktop\Wannacry\Wannacry.exe;Wannacry.exe;1;;Wannacry
73036;132047170779076000;3814;1;0;\Device\HarddiskVolume2\Users\win-test\Documents\mydocs\Solez8.pdf;1995335;0;2484;4092;262144;0.444403;\Device\HarddiskVolume2\Users\win-test\Desktop\Wannacry\Wannacry.exe;Wannacry.exe;1;;Wannacry
73037;132047170779088000;11688;1;0;\Device\HarddiskVolume2\Users\win-test\Documents\mydocs\Solez8.pdf;1995335;0;2484;4092;262144;0.444403;\Device\HarddiskVolume2\Users\win-test\Desktop\Wannacry\Wannacry.exe;Wannacry.exe;1;;Wannacry
73038;132047170779113000;0;1;0;\Device\HarddiskVolume2\Users\win-test\Documents\mydocs\Solez8.pdf;1995335;0;2484;4092;160327;0.462606;\Device\HarddiskVolume2\Users\win-test\Desktop\Wannacry\Wannacry.exe;Wannacry.exe;1;;Wannacry
